1646856139.lRt.2022.lwlr.1: lisa, session_start, , , 
1646856161.lRt.2022.lwlr.1: lisa, session_start, , , 
1646856168.lRt.2022.lwlr.1: lisa, session_stop, , , 
1646856168.lRt.2022.lwlr.1: lisa, session_start, , , 
1646856259.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646856365.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646856491.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646856636.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646856872.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646857323.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646857519.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646857588.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646857647.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646857777.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646857803.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646857879.lRt.2022.lwlr.1: lisa, exercise_submission, exc-calc-prob, , 
1646857906.lRt.2022.lwlr.1: lisa, exercise_submission, exc-calc-prob, , 
1646857914.lRt.2022.lwlr.1: lisa, exercise_submission, exc-calc-prob, , 
1646857924.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646857934.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646858600.lRt.2022.lwlr.1: lisa, session_start, , , 
1646858691.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646858693.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646858696.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646858701.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646858706.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646858711.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646858716.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646858721.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646858726.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646858731.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646858735.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646859648.lRt.2022.lwlr.1: lisa, session_start, , , 
1646859648.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646859649.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646859650.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646859819.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646859843.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646859853.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1646859876.lRt.2022.lwlr.1: lisa, session_start, , , 
1646859876.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646859877.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646859877.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646859878.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646859988.lRt.2022.lwlr.1: lisa, session_start, , , 
1646859989.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646859989.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646859990.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646859991.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646860208.lRt.2022.lwlr.1: lisa, session_start, , , 
1646860209.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646860210.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646860210.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646860211.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646860385.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860397.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860400.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860401.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860405.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860414.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860427.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860518.lRt.2022.lwlr.1: lisa, session_start, , , 
1646860518.lRt.2022.lwlr.1: lisa, session_stop, , , 
1646860533.lRt.2022.lwlr.1: lisa, session_start, , , 
1646860534.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646860535.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646860535.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646860536.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646860537.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860540.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function2, , 
1646860556.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function2, , 
1646860563.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860564.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860566.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860570.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860572.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860599.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860604.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860606.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860826.lRt.2022.lwlr.1: lisa, session_start, , , 
1646860827.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646860827.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646860827.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646860829.lRt.2022.lwlr.1: lisa, video_progress, , , 
1646860829.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860831.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860833.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function2, , 
1646860834.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function2, , 
1646860840.lRt.2022.lwlr.1: lisa, session_stop, , , 
1646860840.lRt.2022.lwlr.1: lisa, session_start, , , 
1646860843.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860846.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function2, , 
1646860851.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860906.lRt.2022.lwlr.1: lisa, session_start, , , 
1646860923.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860931.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860968.lRt.2022.lwlr.1: lisa, session_start, , , 
1646860971.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860974.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646860980.lRt.2022.lwlr.1: lisa, exercise_hint, , , 
1646860991.lRt.2022.lwlr.1: lisa, exercise_submission, exc-function-2, , 
1646860998.lRt.2022.lwlr.1: lisa, exercise_hint, , , 
1646861001.lRt.2022.lwlr.1: lisa, exercise_submission, exc-calc-z-any, , 
1646861006.lRt.2022.lwlr.1: lisa, exercise_submission, exc-calc-z-any, , 
1646861007.lRt.2022.lwlr.1: lisa, exercise_submission, exc-calc-z-any, , 
1646861221.lRt.2022.lwlr.1: lisa, session_start, , , 
1646861227.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646861254.lRt.2022.lwlr.1: lisa, exercise_submission, exc-function-2, , 
1646861256.lRt.2022.lwlr.1: lisa, exercise_hint, , , 
1646861264.lRt.2022.lwlr.1: lisa, exercise_submission, exc-function-2, , 
1646861396.lRt.2022.lwlr.1: lisa, session_start, , , 
1646861399.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646861402.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646861407.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646861481.lRt.2022.lwlr.1: lisa, session_start, , , 
1646861493.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646861571.lRt.2022.lwlr.1: lisa, session_start, , , 
1646861584.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646861596.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646861601.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646861612.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646861622.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646861628.lRt.2022.lwlr.1: lisa, exercise_submission, ex-function, , 
1646861690.lRt.2022.lwlr.1: lisa, session_start, , , 
1646861790.lRt.2022.lwlr.1: lisa, session_stop, , , 
1647903702.lRt.2022.lwlr.1: lisaavery, session_start, , , 
1647903998.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647906227.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647906586.lRt.2022.lwlr.1: lisaavery, session_start, , , 
1647906609.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647906619.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647906634.lRt.2022.lwlr.1: lisaavery, session_start, , , 
1647906754.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647906885.lRt.2022.lwlr.1: lisaavery, session_start, , , 
1647906889.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647906891.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647906893.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647907042.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647907060.lRt.2022.lwlr.1: lisaavery, session_stop, , , 
1647907061.lRt.2022.lwlr.1: lisaavery, session_start, , , 
1647907281.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647907441.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647907820.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647907875.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647908393.lRt.2022.lwlr.1: lisaavery, session_start, , , 
1647908450.lRt.2022.lwlr.1: lisaavery, session_start, , , 
1647908510.lRt.2022.lwlr.1: lisaavery, session_start, , , 
1647908540.lRt.2022.lwlr.1: lisaavery, session_start, , , 
1647908641.lRt.2022.lwlr.1: lisaavery, session_start, , , 
1647908744.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647908847.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647908854.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647908891.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647908963.lRt.2022.lwlr.1: lisaavery, session_start, , , 
1647908970.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647908972.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647908974.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647909034.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647909057.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647909064.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647909073.lRt.2022.lwlr.1: lisaavery, exercise_submission, ex-function, , 
1647909216.lRt.2022.lwlr.1: lisaavery, exercise_submission, ex-function, , 
1647909226.lRt.2022.lwlr.1: lisaavery, exercise_submission, ex-function, , 
1647909248.lRt.2022.lwlr.1: lisaavery, exercise_submission, ex-function, , 
1647909312.lRt.2022.lwlr.1: lisaavery, exercise_submission, ex-function, , 
1647909336.lRt.2022.lwlr.1: lisaavery, exercise_submission, ex-function, , 
1647909409.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647909453.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647909498.lRt.2022.lwlr.1: lisaavery, exercise_hint, , , 
1647909533.lRt.2022.lwlr.1: lisaavery, exercise_submission, exc-function-2, , 
1647909660.lRt.2022.lwlr.1: lisaavery, exercise_submission, exc-function-2, , 
1647909670.lRt.2022.lwlr.1: lisaavery, exercise_hint, , , 
1647910005.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647910007.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
1647910008.lRt.2022.lwlr.1: lisaavery, section_skipped, , , 
